IDENTIFIER,CONCEPT_CODE,SHORT_URI,DEFINITION,DESCRIPTORS,PARENTS,PARENT_IDENTIFIER,value,PUBLIC_ID
"getNextPvId()","","HsapDv_0000003","","EHDAA2_CS01","","","Carnegie stage 01","carnegie"
"getNextPvId()","","HsapDv_0000005","","EHDAA2_CS02","HsapDv_0000004","","Carnegie stage 02","carnegie"
"getNextPvId()","","HsapDv_0000007","","EHDAA2_CS03","HsapDv_0000006","","Carnegie stage 03","carnegie"
"getNextPvId()","","HsapDv_0000008","","EHDAA2_CS04","HsapDv_0000006","","Carnegie stage 04","carnegie"
"getNextPvId()","","HsapDv_0000009","","EHDAA2_CS05","HsapDv_0000006","","Carnegie stage 05","carnegie"
"getNextPvId()","","HsapDv_0000031","","EHDAA2_CS05a","HsapDv_0000009 HsapDv_0000006","","Carnegie stage 05a","carnegie"
"getNextPvId()","","HsapDv_0000032","","EHDAA2_CS05b","HsapDv_0000009 HsapDv_0000006","","Carnegie stage 05b","carnegie"
"getNextPvId()","","HsapDv_0000033","","EHDAA2_CS05c","HsapDv_0000009 HsapDv_0000006","","Carnegie stage 05c","carnegie"
"getNextPvId()","","HsapDv_0000011","","EHDAA2_CS06","HsapDv_0000010","","Carnegie stage 06","carnegie"
"getNextPvId()","","HsapDv_0000034","","EHDAA2_CS06a","HsapDv_0000011 HsapDv_0000010","","Carnegie stage 06a","carnegie"
"getNextPvId()","","HsapDv_0000035","","EHDAA2_CS06b","HsapDv_0000011 HsapDv_0000010","","Carnegie stage 06b","carnegie"
"getNextPvId()","","HsapDv_0000013","","EHDAA2_CS07","HsapDv_0000012","","Carnegie stage 07","carnegie"
"getNextPvId()","","HsapDv_0000014","","EHDAA2_CS08","HsapDv_0000012","","Carnegie stage 08","carnegie"
"getNextPvId()","","HsapDv_0000016","","EHDAA2_CS09","HsapDv_0000015","","Carnegie stage 09","carnegie"
"getNextPvId()","","HsapDv_0000017","","EHDAA2_CS10","HsapDv_0000015","","Carnegie stage 10","carnegie"
"getNextPvId()","","HsapDv_0000018","","EHDAA2_CS11","HsapDv_0000015","","Carnegie stage 11","carnegie"
"getNextPvId()","","HsapDv_0000019","","EHDAA2_CS12","HsapDv_0000015","","Carnegie stage 12","carnegie"
"getNextPvId()","","HsapDv_0000020","","EHDAA2_CS13","HsapDv_0000015","","Carnegie stage 13","carnegie"
"getNextPvId()","","HsapDv_0000021","","EHDAA2_CS14","HsapDv_0000015","","Carnegie stage 14","carnegie"
"getNextPvId()","","HsapDv_0000022","","EHDAA2_CS15","HsapDv_0000015","","Carnegie stage 15","carnegie"
"getNextPvId()","","HsapDv_0000023","","EHDAA2_CS16","HsapDv_0000015","","Carnegie stage 16","carnegie"
"getNextPvId()","","HsapDv_0000024","","EHDAA2_CS17","HsapDv_0000015","","Carnegie stage 17","carnegie"
"getNextPvId()","","HsapDv_0000025","","EHDAA2_CS18","HsapDv_0000015","","Carnegie stage 18","carnegie"
"getNextPvId()","","HsapDv_0000026","","EHDAA2_CS19","HsapDv_0000015","","Carnegie stage 19","carnegie"
"getNextPvId()","","HsapDv_0000027","","EHDAA2_CS20","HsapDv_0000015","","Carnegie stage 20","carnegie"
"getNextPvId()","","HsapDv_0000028","","","HsapDv_0000015","","Carnegie stage 21","carnegie"
"getNextPvId()","","HsapDv_0000029","","","HsapDv_0000015","","Carnegie stage 22","carnegie"
"getNextPvId()","","HsapDv_0000030","","","HsapDv_0000015","","Carnegie stage 23","carnegie"